wav,txt2,phone2
chinese000001,卡 尔 普 陪 外 孙 玩 滑 梯 。,ka2 er2 pu3 pei2 wai4 sun1 wan2 hua2 ti1 。
chinese000002,假 语 村 言 别 再 拥 抱 我 。,jia2 yu3 cun1 yan2 bie2 zai4 yong1 bao4 wo3 。
chinese000003,宝 马 配 挂 跛 骡 鞍 ， 貂 蝉 怨 枕 董 翁 榻 。,bao2 ma3 pei4 gua4 bo3 luo2 an1 ， diao1 chan2 yuan4 zhen3 dong3 weng1 ta4 。
chinese000004,邓 小 平 与 撒 切 尔 会 晤 。,deng4 xiao3 ping2 yu3 sa4 qie4 er3 hui4 wu4 。
chinese000005,老 虎 幼 崽 与 宠 物 犬 玩 耍 。,lao2 hu3 you4 zai3 yu2 chong3 wu4 quan3 wan2 shua3 。
chinese000006,身 长 约 五 尺 二 寸 五 分 或 以 上 。,shen1 chang2 yue1 wu2 chi3 er4 cun4 wu3 fen1 huo4 yi3 shang4 。
chinese000007,赵 荻 约 曹 云 腾 去 鬼 屋 。,zhao4 di2 yue1 cao2 yun2 teng2 qu4 gui3 wu1 。
chinese000008,展 品 虽 有 ， 展 员 却 颓 。,zhan2 pin3 sui1 you3 ， zhan3 yuan2 que4 tui2 。
chinese000009,以 散 居 儿 童 和 幼 托 儿 童 为 主 。,yi2 san3 ju1 er2 tong2 he2 you4 tuo1 er2 tong2 wei2 zhu3 。
chinese000010,柯 特 妮 身 穿 豹 纹 大 衣 。,ke1 te4 ni1 shen1 chuan1 bao4 wen2 da4 yi1 。
chinese000011,引 才 要 筛 ， 用 才 也 要 筛 。,yin3 cai2 yao4 shai1 ， yong4 cai2 ye3 yao4 shai1 。
chinese000012,南 越 昆 仑 山 与 西 藏 接 壤 。,nan2 yue4 kun1 lun2 shan1 yu3 xi1 zang4 jie1 rang3 。
chinese000013,翁 凯 兰 防 乳 腺 癌 宣 传 照 。,weng1 kai3 lan2 fang2 ru3 xian4 ai2 xuan1 chuan2 zhao4 。
